epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1766,0.85834,3.03877,1.45963,0.00525,1,0.36817,0.26585,0.44248,3.508,1.14741,0.0001429,0.0001429,0.0001429
2,83.0109,0.81385,2.79457,1.45041,0.00504,1,0.35429,0.23725,0.89311,3.60396,1.56508,0.000294148,0.000294148,0.000294148
3,115.493,0.8764,2.43607,1.40978,0.00497,1,0.32956,0.21775,0.86626,3.53355,1.56671,0.000439172,0.000439172,0.000439172
4,146.64,0.81019,2.37801,1.417,0.00541,1,0.25157,0.17075,0.91106,3.35696,1.6265,0.00057797,0.00057797,0.00057797
5,177.919,1.03683,2.58826,1.60412,0.0061,1,0.37907,0.2381,0.99273,3.44188,1.79118,0.000710545,0.000710545,0.000710545
6,208.972,0.91662,2.07772,1.42275,0.26686,0.63704,0.48221,0.33905,1.22548,3.19268,2.15291,0.000836894,0.000836894,0.000836894
7,240.912,0.94104,2.20435,1.51549,0.4393,0.4963,0.40179,0.29431,1.18177,3.00049,2.17814,0.000957018,0.000957018,0.000957018
8,271.841,0.80833,1.94535,1.3599,0.62178,0.55179,0.55688,0.42991,0.9015,2.36556,1.66,0.00107092,0.00107092,0.00107092
9,303.129,0.90471,2.0331,1.49076,0.62178,0.55179,0.55688,0.42991,0.9015,2.36556,1.66,0.00117859,0.00117859,0.00117859
10,335.04,0.81969,1.78406,1.35601,0.61989,0.60906,0.56454,0.45532,0.88455,2.2648,1.66473,0.00117435,0.00117435,0.00117435
11,366.294,0.89102,1.91975,1.45198,0.507,0.65691,0.48747,0.35526,1.0015,4.01021,1.89993,0.00114606,0.00114606,0.00114606
12,397.188,0.93581,1.84912,1.4105,0.507,0.65691,0.48747,0.35526,1.0015,4.01021,1.89993,0.00111776,0.00111776,0.00111776
13,430.862,0.77823,1.57561,1.32559,0.50372,0.49066,0.50011,0.36513,0.96307,3.46713,1.72328,0.00108947,0.00108947,0.00108947
14,457.998,0.8453,1.92557,1.43483,0.39359,0.67407,0.57846,0.40698,0.87121,2.58813,1.68386,0.00106118,0.00106118,0.00106118
15,487.888,0.73994,1.55277,1.24106,0.39359,0.67407,0.57846,0.40698,0.87121,2.58813,1.68386,0.00103288,0.00103288,0.00103288
16,518.363,0.92958,1.72702,1.43149,0.60867,0.72043,0.73329,0.49658,0.93457,2.49408,1.66589,0.00100459,0.00100459,0.00100459
17,549.94,0.78899,1.5834,1.28811,0.73429,0.71794,0.71939,0.53468,0.83501,2.44775,1.54065,0.000976293,0.000976293,0.000976293
18,583.53,0.71361,1.536,1.30872,0.85318,0.66844,0.75325,0.54942,0.82872,2.00464,1.5201,0.000947999,0.000947999,0.000947999
19,611.65,0.69414,1.43071,1.21042,0.85318,0.66844,0.75325,0.54942,0.82872,2.00464,1.5201,0.000919704,0.000919704,0.000919704
20,642.516,0.78301,1.47054,1.34923,0.74737,0.60631,0.71061,0.5341,0.82844,2.12252,1.56208,0.00089141,0.00089141,0.00089141
21,670.675,0.72078,1.39327,1.26306,0.83725,0.67123,0.75123,0.5284,0.88567,2.12034,1.6085,0.000863116,0.000863116,0.000863116
22,698.535,0.682,1.27378,1.22698,0.83725,0.67123,0.75123,0.5284,0.88567,2.12034,1.6085,0.000834822,0.000834822,0.000834822
23,730.617,0.87808,1.43666,1.40199,0.68219,0.72224,0.76725,0.49346,1.04115,2.50052,1.74834,0.000806528,0.000806528,0.000806528
24,762.956,0.73402,1.4238,1.31784,0.75735,0.51257,0.77679,0.53191,0.91583,2.35339,1.57566,0.000778233,0.000778233,0.000778233
25,796.789,0.66812,1.61498,1.20438,0.75735,0.51257,0.77679,0.53191,0.91583,2.35339,1.57566,0.000749939,0.000749939,0.000749939
26,830.375,0.71631,1.34412,1.24522,0.53074,0.66958,0.65004,0.44601,1.05475,2.61203,1.70384,0.000721645,0.000721645,0.000721645
27,863.591,0.75508,1.30816,1.27955,0.78601,0.57044,0.74257,0.57966,1.16556,2.3092,1.81594,0.000693351,0.000693351,0.000693351
28,896.423,0.72562,1.26913,1.22289,0.78601,0.57044,0.74257,0.57966,1.16556,2.3092,1.81594,0.000665057,0.000665057,0.000665057
29,929.215,0.79507,1.51687,1.345,0.59096,0.7018,0.72185,0.56675,1.23329,2.47676,1.84536,0.000636762,0.000636762,0.000636762
30,963.164,0.67995,1.19313,1.23179,0.70206,0.66247,0.69126,0.53716,1.03696,2.22338,1.72488,0.000608468,0.000608468,0.000608468
31,995.13,0.68784,1.13891,1.27129,0.70206,0.66247,0.69126,0.53716,1.03696,2.22338,1.72488,0.000580174,0.000580174,0.000580174
32,1027.07,0.72388,1.35253,1.25221,0.8685,0.65388,0.68665,0.5249,1.11006,2.26434,1.84359,0.00055188,0.00055188,0.00055188
33,1059.5,0.6271,1.24432,1.19182,0.90045,0.68485,0.72646,0.54651,1.10451,2.40891,1.85153,0.000523586,0.000523586,0.000523586
34,1092.99,0.6899,1.39286,1.2625,0.71664,0.77325,0.73812,0.58768,1.01248,2.30019,1.79028,0.000495291,0.000495291,0.000495291
35,1126.55,0.70643,1.15527,1.20491,0.71664,0.77325,0.73812,0.58768,1.01248,2.30019,1.79028,0.000466997,0.000466997,0.000466997
36,1158.81,0.69439,1.19648,1.2338,0.81541,0.82685,0.8266,0.71907,0.98661,2.04134,1.74617,0.000438703,0.000438703,0.000438703
37,1192.54,0.74588,1.35074,1.33971,0.87766,0.74076,0.82705,0.72871,0.96087,1.87176,1.73283,0.000410409,0.000410409,0.000410409
38,1225.55,0.60841,1.0993,1.18461,0.87766,0.74076,0.82705,0.72871,0.96087,1.87176,1.73283,0.000382115,0.000382115,0.000382115
39,1257.52,0.6302,1.15157,1.20852,0.81763,0.78519,0.81159,0.73523,0.88274,1.73993,1.61176,0.00035382,0.00035382,0.00035382
40,1289.62,0.56998,1.18946,1.13924,0.84261,0.83925,0.82646,0.76595,0.8464,1.68708,1.57414,0.000325526,0.000325526,0.000325526
41,1322.16,0.46927,1.69624,1.19734,0.84261,0.83925,0.82646,0.76595,0.8464,1.68708,1.57414,0.000297232,0.000297232,0.000297232
42,1354.2,0.51063,1.62612,1.18207,0.79466,0.84571,0.81292,0.75078,0.84359,1.72443,1.56763,0.000268938,0.000268938,0.000268938
43,1385.8,0.49026,1.5801,1.16201,0.74669,0.82757,0.79852,0.70139,0.87963,1.79052,1.58713,0.000240644,0.000240644,0.000240644
44,1417.95,0.49548,1.62173,1.09211,0.74669,0.82757,0.79852,0.70139,0.87963,1.79052,1.58713,0.000212349,0.000212349,0.000212349
45,1450.19,0.51105,1.4328,1.18064,0.69728,0.82516,0.78599,0.6762,0.85995,1.77319,1.56998,0.000184055,0.000184055,0.000184055
46,1481.71,0.49037,1.62229,1.18344,0.70289,0.85185,0.78544,0.68836,0.80254,1.7924,1.51141,0.000155761,0.000155761,0.000155761
47,1513.65,0.49438,1.62577,1.18314,0.70289,0.85185,0.78544,0.68836,0.80254,1.7924,1.51141,0.000127467,0.000127467,0.000127467
48,1545.67,0.48671,1.47988,1.12882,0.75573,0.85185,0.80773,0.72356,0.79442,1.85443,1.50287,9.91726e-05,9.91726e-05,9.91726e-05
49,1577.74,0.58598,1.58405,1.45316,0.77132,0.85185,0.81418,0.7306,0.76594,1.79262,1.47652,7.08784e-05,7.08784e-05,7.08784e-05
50,1609.22,0.42989,1.31694,1.04746,0.78074,0.84523,0.8136,0.72858,0.76726,1.76545,1.49971,4.25842e-05,4.25842e-05,4.25842e-05
